Top Wood,Back Wood,Model Notes,Notes,Limited Edition,Price,Serial Number,Listing Title,Listing Url,Video Id,Video Published At,Video Provider,Oli Id,Redirect Url
Mango,Mango,,,,,,,,Oj_48kO9R8w,2023-11-16 18:57:56+00:00,youtube,L2-CMG,
Mango,Mango,,,,,,,,K1WS2LC0U2s,2023-11-16 19:12:58+00:00,youtube,L2-BMG,
Mango,Mango,,,,,,,,OfYorkjhkCo,2023-11-16 20:48:05+00:00,youtube,L2-BMG,
Mango,Mango,,,,,,,,ce7gyng9eYE,2023-11-17 19:14:10+00:00,youtube,L2-CMG,
Mango,Mango,,,,895,810,,https://theukulelesite.com/oli-mango-baritone-l1-bmg-810.html,uBJy6pgpNIU,2024-01-30 08:53:06+00:00,youtube,L1-BMG,https://theukulelesite.com/oli-mango-baritone-2025-l1-bmg-911.html
Cedar,Macassar Ebony ,,,,1495,23,'OLI CEDAR MACASSAR EBONY TENOR (L2-TCE 0023),https://theukulelesite.com/oli-cedar-macassar-ebony-tenor-l2-tce-g-0023.html,mSw_GV9LxOM,2024-02-01 06:46:48+00:00,youtube,L2-TCE,
Cedar,Macassar Ebony ,,,,,,,,uDCKmlLujrs,2024-02-28 22:39:41+00:00,youtube,L2-BCE,
Spruce,Rosewood,,,,1695,205,'OLI SPRUCE ROSEWOOD BARITONE (L2-BSR MACAW FLOWER 0205),https://theukulelesite.com/oli-spruce-rosewood-baritone-l2-bsr-macaw-flower-0205.html,TkO2YRW2vQE,2024-02-28 22:44:55+00:00,youtube,L2-BSR,
Mango,Mango,,,,845,254,'OLI MANGO BARITONE SATIN (L1-BMGS 254),https://theukulelesite.com/oli-mango-baritone-satin-l1-bmgs-254.html,khwhxdSi-mY,2024-02-29 11:36:28+00:00,youtube,L1-BMGS,
Cedar,Acacia,,,,,,,,u5KrGSLuAXc,2024-03-02 20:26:47+00:00,youtube,L2-TCAS,
Cedar,Acacia,,,,,,,,WL27LBQ945s,2024-03-02 20:27:22+00:00,youtube,L2-TCA,
Acacia,Acacia,,,,795,50,'OLI ACACIA TENOR (L1-TA 50),https://theukulelesite.com/oli-acacia-tenor-l1-ta-50-1.html,y_PTYfaS2tM,2024-03-02 20:27:51+00:00,youtube,L1-TA,
Mango,Mango,,,,,,,,Soq6E4n5itM,2024-03-02 20:28:25+00:00,youtube,L1-TMGS,
Mango,Mango,,,,,,,,Rs3343kcjXk,2024-03-02 20:28:53+00:00,youtube,L1-TMG,
Acacia,Acacia,,,,895,225,'OLI ACACIA BARITONE (L1-BA 0225),https://theukulelesite.com/oli-acacia-baritone-l1-ba-225-2.html,Lb8ybMXLMIc,2024-03-03 20:08:35+00:00,youtube,L1-BA,
Acacia,Acacia,,,,795,223,'OLI ACACIA BARITONE SATIN (2024 L1-BAS 223),https://theukulelesite.com/shop-by/brand/oli/oli-acacia-baritone-satin-l1-bas-223-1.html,nIXapx821eY,2024-03-03 20:10:35+00:00,youtube,L1-BAS,
Mango,Mango,,,,,,,,XByuCDF8o0w,2024-03-04 23:55:55+00:00,youtube,L1-TMG,
Mango,Mango,,,,745,86,'OLI MANGO TENOR SATIN (L1-TMGS 0086),https://theukulelesite.com/oli-mango-tenor-satin-l1-tmgs-86-1.html,loV_awbwQUw,2024-03-05 01:36:39+00:00,youtube,L1-TMGS,
Mango,Mango,,,,1595,434,,https://theukulelesite.com/shop-by/brand/oli/oli-mango-baritone-l2-bmg-434.html,s1FzFA5sE6s,2024-03-06 17:11:01+00:00,youtube,L2-BMG,https://theukulelesite.com/shop-by/brand/oli/oli-mango-baritone-l2-bmg-314.html
