Video Title,Video Id,Video Published At,Video Provider,Oli Id
'Oli X2 TTSWT Torrefied Spruce Walnut Tenor High G,En0S_ZFEJ-U,2025-12-08 02:29:21+00:00,youtube,X3-TTSWT
'Oli X3 TTSWT 1898 Torrefied Spruce Walnut Tenor,3vr9gPWGI20,2025-12-01 02:32:38+00:00,youtube,X3-TTSWT
'Oli X3-TCKM Cedar Kamani Tenor,HPBbAPcfnek,2025-09-05 00:02:27+00:00,youtube,X3-TCKM
'Oli X2-TYCMH Alaskan Yellow Cedar Mahogany Tenor,cFahZKqbQdw,2026-01-29 21:14:39+00:00,youtube,X2-TYCMH Yellow Cedar
'Oli X2-TTSRR Torrefied Spruce Rosewood Tenor,5opERUz7YWM,2025-04-24 05:04:46+00:00,youtube,X2-TTSRR
'Oli X2 TRR SE,bFYnVXBcbso,2025-11-16 02:29:03+00:00,youtube,X2-TRRBW
'Oli X2 TRR SE Redwood Rosewood Tenor w High G,ZuXZKsHe-Ow,2025-12-06 09:40:04+00:00,youtube,X2-TRR
'Oli X2-TRR SE w High G Redwood Rosewood Tenor,ecDhE4DQ0jk,2025-10-03 06:01:06+00:00,youtube,X2-TRR
'Oli X2 TRR 1691 Redwood Rosewood Tenor,wDk9J_l4i_A,2025-09-29 03:27:12+00:00,youtube,X2-TRR
'Oli X2 TCRBW 1161Cedar Rosewood Tenor,n3hy_VOpQc0,2025-04-24 06:22:14+00:00,youtube,X2-TCRBW
'Oli X2 STSWT Torrefied Spruce Walnut Soprano (Pepe Romero US1 Strings) Strings),2HopNKUPPlY,2025-12-04 07:47:54+00:00,youtube,X2-STSWT
'Oli X2-SACR Ancient Cypress Rosewood Soprano (Worth CM Strings),BZ8jt1rMGNs,2025-12-04 07:47:28+00:00,youtube,X2-SACR
'Oli X2 CRR SE 1667 Redwood Rosewood Concert,P8TOa1_NZxI,2025-09-29 04:33:09+00:00,youtube,X2-CRR
'Oli X2-BTSRR Torrefied Spruce Red Rosewood Baritone 1127,4qNDoaI5w20,2025-06-26 02:17:30+00:00,youtube,X2-BTSRR
'Oli Baritone Reentrant High D and Linear Low D Sample X2-BTSRR 1126,m6gPM74A0QI,2025-06-14 23:11:43+00:00,youtube,X2-BTSRR
'Oli X2 BTSRR 1109 Torrefied Spruce Rosewood Baritone,UEpCcA2lKCk,2025-05-11 07:23:59+00:00,youtube,X2-BTSRR
'Oli X2 BRR 1714 Baritone Redwood Rosewood,Bd6xa21_LRE,2025-09-29 05:26:49+00:00,youtube,X2-BRR
'Oli X2 BCRBW S 1142 Cedar Black & White Rosewood Baritone,NoGTiNc-hAM,2025-05-31 08:18:42+00:00,youtube,X2-BCRBW-S
'Oli X2-BCR-BW 1144 Cedar Rosewood X braced Baritone,PTMO6cWPf9o,2025-04-27 01:58:11+00:00,youtube,X2-BCRBW
'Oli X1 TMH Mahogany Tenor,ThOI0LKaPbA,2025-07-13 09:05:00+00:00,youtube,X1-TMH-S
'Oli X1 TMG Mango Tenor High G,CmaS9cKTvCY,2025-12-05 18:27:39+00:00,youtube,X1-TMG
'Oli X 1TMG Mango Tenor,LfqxLk3KdI0,2025-09-28 22:42:12+00:00,youtube,X1-TMG
'Oli X1SP-TCMH-S,Hv7CvFfj538,2025-11-30 20:32:33+00:00,youtube,X1-TCMH-S
'Oli X1-TA High G Sample w Mika,XOhjv0kYXMw,2025-10-06 22:09:58+00:00,youtube,X1-TA
'Oli X1 TA Acacia Tenor,5IZdzUMe5x4,2025-10-02 04:39:19+00:00,youtube,X1-TA
'Oli X1-SSKMH S Sitka Spruce Mahogany Soprano,e4w580c5mQ4,2025-10-01 22:59:59+00:00,youtube,X1-SSKMH-S
'Oli X1-SMH-S Mahogany Soprano w Kalei,rVtTgH1AmyA,2025-07-18 06:56:44+00:00,youtube,X1-SMH-S
'Oli X-SMH-S Mahogany Soprano,TygkMqVWevU,2025-02-05 19:28:14+00:00,youtube,X1-SMH-S
'Oli X1 SMG Mango Soprano,pkUqya4cJE8,2025-12-04 17:02:40+00:00,youtube,X1-SMG
'Oli X1 SA Acacia Soprano,WGx13TLCae4,2025-12-04 17:02:58+00:00,youtube,X1-SA
'Oli X1-CMH-S Concert Mahogany,2gVLJCw8dMU,2025-07-21 05:14:03+00:00,youtube,X1-CMH-S
'Oli X1-CMG Mango Concert,GVRxruFfBzU,2025-10-02 04:16:28+00:00,youtube,X1-CMG
'Oli X1-CCPMH S Port Orford Cedar Mahohany Concert,zBGF9JWxY2s,2025-10-02 03:50:01+00:00,youtube,X1-CCPMH-S
'Oli X1-CA Acacia Concert,qI4e8Hm2EWk,2025-10-03 03:40:13+00:00,youtube,X1-CA
'Oli X1-BMH S Mahogany Baritone,HQfblnbmgRI,2025-07-16 09:28:47+00:00,youtube,X1-BMH-S
'Oli X1SP-BMH-S Cedar Mahogany Baritone,fBmk6-U3FPg,2025-11-30 21:16:27+00:00,youtube,X1-BCMH-S
'Oli X1-BA Acacia Baritone,RlGo3xYKAIQ,2025-10-03 02:54:54+00:00,youtube,X1-BA
'Oli L3-TTSML Torrefied Spruce Hawaiian Milo Hoala Tenor 1891,sHvCUBBE880,2025-11-29 22:16:40+00:00,youtube,L3-TTSML
'Oli Torrefied Spruce Milo L3 TTSML 1275,lUTWoQr7iUg,2025-05-30 19:46:20+00:00,youtube,L3-TTSML
'Oli L3-TTSML Torrefied Spruce Milo LE Tenor,-22L3lJxneI,2025-05-14 21:45:40+00:00,youtube,L3-TTSML
'Oli L3-TTSE H 1252,Y-FSuohzFX0,2025-09-21 02:55:54+00:00,youtube,L3-TTSE-S
'Oli L3 Honeycomb Tenor Torrefied Spruce Ebony,03s7LIKWPLA,2025-06-01 03:18:15+00:00,youtube,L3-TTSE
'Oli L3-TSR-P Plumeria Tenor 1247,WeC-fgs9Gcc,2025-05-17 22:16:09+00:00,youtube,L3-TSR
'Oli L3 Plumeria Tenor 1033,oSym4KiyAHc,2025-02-08 20:49:43+00:00,youtube,L3-TSR
'Oli L3 TSML Spruce Milo LE Tenor,sGCvfH3n-jE,2025-04-24 10:04:06+00:00,youtube,L3-TSML
'Oli L3 TSE-H Spruce Ebony Honeycomb Tenor,GeyEMyXhCoI,2025-05-14 22:27:12+00:00,youtube,L3-TSE
Oli L3-TRML Curly Redwood Milo Tenor,95lhu10_THM,2025-07-25 00:39:16+00:00,youtube,L3-TRML
'Oli L3-TRML 1291 Curly Redwood Milo Tenor,dQb-524e3qg,2025-06-20 10:21:55+00:00,youtube,L3-TRML
'Oli L3-TRML Redwood Milo LE Tenor 1289,6uik2UVNWAw,2025-05-14 21:31:45+00:00,youtube,L3-TRML
'Oli L3 TRML 1290 Curly Redwood Milo LE Tenor,eLa250snUmE,2025-05-11 03:31:53+00:00,youtube,L3-TRML
'Oli L3 TRML  Curly Redwood Milo Tenor 1271,WArzRddPDZ8,2025-05-11 02:47:51+00:00,youtube,L3-TRML
'Oli L3 TCPML Port Orford Cedar Milo Tenor LE 1272,nPwQCLnVzXA,2025-04-24 10:03:07+00:00,youtube,L3-TCPML
'Oli Cedar Milo L3 Limited Edition Tenor,U_atB4KSaY8,2025-05-31 19:48:25+00:00,youtube,L3-TCML
'Oli L3-TCE-H Cedar Ebony Honeycomb 1977,mpHfK-trcAs,2026-01-29 21:23:05+00:00,youtube,L3-TCE
'Oli L3 TACMB Ancient Cypress Malaysian Blackwood Tenor High G,SjzM4JJHVjA,2025-12-04 04:36:16+00:00,youtube,L3-TACMB
'Oli L3 TACMB Ancient Sinker Cypress Malaysian Blackwood Tenor,MRhCNDGPPk8,2025-11-29 23:17:33+00:00,youtube,L3-TACMB
L3-CTSML,1090692172,2025-06-05 01:00:00+00:00,vimeo,L3-CTSML
'Oli L3-CSR-P Spruce Rosewood Concert 1229,VN--ZMTnHSw,2025-10-08 23:50:03+00:00,youtube,L3-CSR
'Oli L3 CSR P Spruce Rosewood LE Plumeria Concert,bB_ODMYkRiE,2025-05-12 21:28:46+00:00,youtube,L3-CSR
'Oli L3-CSE H 1186,7PABqyB1Ef8,2025-05-18 03:41:25+00:00,youtube,L3-CSE
'Oli L3 CSCO Limited Edition Anthurium,IQ5v-C5lrA8,2025-11-04 08:00:26+00:00,youtube,L3-CSCO
