position,video_title,published_at,video_id,video_thumbnail,model,model_wood,tier,type,size,top_wood,back_wood,finish,other,price,url,new_model,new_model_wood
-1,'Oli Mango Tenor Prototype,2023-08-21T22:57:34Z,1__pjKICYcA,https://i.ytimg.com/vi/1__pjKICYcA/default.jpg,L2-TMG,L2-MG,L2,TMG,Tenor,Mango,Mango,gloss,prototype,,,,
-1,"""Hawai'i '78"" 'Oli Mango Tenor & Pono Master Series Baritone RBSMS",2023-08-21T23:00:57Z,mgGgRXIZY4Q,https://i.ytimg.com/vi/mgGgRXIZY4Q/default.jpg,,,,,,,,,,,,,
-1,'Oli Mango Concert L2 MGC,2023-11-16T18:57:56Z,Oj_48kO9R8w,https://i.ytimg.com/vi/Oj_48kO9R8w/default.jpg,L2-CMG,L2-MG,L2,CMG,Concert,Mango,Mango,gloss,,,,,
-1,'Oli Mango Baritone L2 MGB,2023-11-16T19:13:03Z,K1WS2LC0U2s,https://i.ytimg.com/vi/K1WS2LC0U2s/default.jpg,L2-BMG,L2-MG,L2,BMG,Baritone,Mango,Mango,gloss,,,,,
-1,Danny's Song on 'Oli Mango Baritone & Tenor,2023-11-16T19:29:01Z,sMBVxO3s9KU,https://i.ytimg.com/vi/sMBVxO3s9KU/default.jpg,,,,,,,,,,,,,
-1,'Oli Mango Baritone Samples w Ian,2023-11-16T20:48:05Z,OfYorkjhkCo,https://i.ytimg.com/vi/OfYorkjhkCo/default.jpg,L2-BMG,L2-MG,L2,BMG,Baritone,Mango,Mango,gloss,,,,,
-1,'Oli Mango Concert L2-CMG-G w Ian,2023-11-17T19:14:29Z,ce7gyng9eYE,https://i.ytimg.com/vi/ce7gyng9eYE/default.jpg,L2-CMG,L2-MG,L2,CMG,Concert,Mango,Mango,gloss,,,,,
1,'Oli L1 MGBG Mango Baritone,2024-01-30T08:53:06Z,uBJy6pgpNIU,https://i.ytimg.com/vi/uBJy6pgpNIU/default.jpg,L1-BMG,L1-MG,L1,BMG,Baritone,Mango,Mango,gloss,,895.0,https://theukulelesite.com/oli-mango-baritone-l1-bmg-810.html,True,True
2,"O.C. Bear Custom Lahaina Guitar & ‘Oli Cedar Ebony Tenor ""Everything I do I Do It For You""",2024-02-01T06:44:56Z,aFgun3_F1fQ,https://i.ytimg.com/vi/aFgun3_F1fQ/default.jpg,,,,,,,,,,,,,
3,'Oli L2 TCE Cedar Macassar Ebony Tenor,2024-02-01T06:46:48Z,mSw_GV9LxOM,https://i.ytimg.com/vi/mSw_GV9LxOM/default.jpg,L2-TCE,L2-CE,L2,TCE,Tenor,Cedar,Macassar Ebony ,gloss,,1495.0,https://theukulelesite.com/oli-cedar-macassar-ebony-tenor-l2-tce-g-0023.html,True,True
4,'Oli Cedar Macassar L2 Baritone,2024-02-28T22:39:41Z,uDCKmlLujrs,https://i.ytimg.com/vi/uDCKmlLujrs/default.jpg,L2-BCE,L2-CE,L2,BCE,Baritone,Cedar,Macassar Ebony ,gloss,,1845.0,https://theukulelesite.com/oli-cedar-ebony-baritone-l2-bce-hanging-heliconia-195.html,True,
5,'Oli Spruce Rosewood L2 Baritone,2024-02-28T22:44:55Z,TkO2YRW2vQE,https://i.ytimg.com/vi/TkO2YRW2vQE/default.jpg,L2-BSR,L2-SR,L2,BSR,Baritone,Spruce,Rosewood,gloss,,1695.0,https://theukulelesite.com/oli-spruce-rosewood-baritone-l2-bsr-macaw-flower-0205.html,True,True
6,'Oli L1 Mango Baritone Satin,2024-02-29T11:36:28Z,khwhxdSi-mY,https://i.ytimg.com/vi/khwhxdSi-mY/default.jpg,L1-BMGS,L1-MGS,L1,BMGS,Baritone,Mango,Mango,satin,,845.0,https://theukulelesite.com/oli-mango-baritone-satin-l1-bmgs-254.html,True,True
