bracing,top_wood,back_wood,finish,video_url
Lattice,Acacia,Acacia,gloss,"[URL=""https://www.youtube.com/watch?v=OVPwYlJq0Bg""]YouTube[/URL]"
Lattice,Acacia,Acacia,satin,"[URL=""https://www.youtube.com/watch?v=Vs5t3ISGJoM""]YouTube[/URL]"
Lattice,Cedar,Acacia,gloss,"[URL=""https://www.youtube.com/watch?v=kGD-EnRr8D8""]YouTube[/URL]"
Lattice,Cedar,Acacia,satin,"[URL=""https://www.youtube.com/watch?v=MNqIXfH0Spg""]YouTube[/URL]"
Lattice,Cedar,Claro walnut,gloss,"[URL=""https://www.youtube.com/watch?v=EBTd6lsuR0A""]YouTube[/URL]"
Lattice,Cedar,Macassar Ebony,gloss,"[URL=""https://www.youtube.com/watch?v=EkK-cy3vWPg""]YouTube[/URL]"
Lattice,Cedar,Milo,gloss,"[URL=""https://www.youtube.com/watch?v=U_atB4KSaY8""]YouTube[/URL]"
Lattice,Cedar,Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=KGmCxXLAF-k""]YouTube[/URL]"
Lattice,Curly Myrtle,Curly Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=037scxWrmu4""]YouTube[/URL]"
Lattice,Curly Redwood,Milo,gloss,"[URL=""https://www.youtube.com/watch?v=95lhu10_THM""]YouTube[/URL]"
Lattice,Flame Maple,Flame Maple,gloss,"[URL=""https://www.youtube.com/watch?v=ur06v3xohPA""]YouTube[/URL]"
Lattice,Koa,Koa,gloss,"[URL=""https://www.youtube.com/watch?v=MIcsswpxyHA""]YouTube[/URL]"
Lattice,Koa,Macassar Ebony,gloss,"[URL=""https://www.youtube.com/watch?v=NYBejTZgJfw""]YouTube[/URL]"
Lattice,Mahogany,Mahogany,satin,"[URL=""https://www.youtube.com/watch?v=Nj-WvhE59Ek""]YouTube[/URL]"
Lattice,Mango,Mango,gloss,"[URL=""https://www.youtube.com/watch?v=FNnqQK0mMAk""]YouTube[/URL]"
Lattice,Mango,Mango,satin,"[URL=""https://www.youtube.com/watch?v=-a8Htsage2c""]YouTube[/URL]"
Lattice,Myrtle,Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=KmkW6UGQHKE""]YouTube[/URL]"
Lattice,Pink Incense Cedar,Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=ZA5uJXCdT6I""]YouTube[/URL]"
Lattice,Port Orford Cedar,Macassar Ebony,gloss,"[URL=""https://www.youtube.com/watch?v=IZzmmRcxLfI""]YouTube[/URL]"
Lattice,Port Orford Cedar,Milo,gloss,"[URL=""https://www.youtube.com/watch?v=nPwQCLnVzXA""]YouTube[/URL]"
Lattice,Port Orford Cedar,Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=lCrr3ceWirM""]YouTube[/URL]"
Lattice,Port Orford Cedar,Tiger Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=znyxkeAk-yQ""]YouTube[/URL]"
Lattice,Quilted Maple,Quilted Maple,gloss,"[URL=""https://www.youtube.com/watch?v=wemORgz-3uU""]YouTube[/URL]"
Lattice,Redwood,Milo,gloss,"[URL=""https://www.youtube.com/watch?v=6uik2UVNWAw""]YouTube[/URL]"
Lattice,Redwood,Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=znrZRv_AvsM""]YouTube[/URL]"
Lattice,Sinker Cypress,Flame Maple,gloss,"[URL=""https://www.youtube.com/watch?v=lpF2AYhpI9g""]YouTube[/URL]"
Lattice,Sitka Spruce,Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=E15bbTv257c""]YouTube[/URL]"
Lattice,Spalted Mango ,Spalted Mango ,gloss,"[URL=""https://www.youtube.com/watch?v=hj1rKNd9Qi4""]YouTube[/URL]"
Lattice,Spruce,Acacia,gloss,"[URL=""https://www.youtube.com/watch?v=Yk98tlUrQwM""]YouTube[/URL]"
Lattice,Spruce,Flame Maple,gloss,"[URL=""https://www.youtube.com/watch?v=ef-xKFHbLrE""]YouTube[/URL]"
Lattice,Spruce,Macassar Ebony,gloss,"[URL=""https://www.youtube.com/watch?v=GeyEMyXhCoI""]YouTube[/URL]"
Lattice,Spruce,Merbau,satin,"[URL=""https://www.youtube.com/watch?v=3Og2_nBuHUs""]YouTube[/URL]"
Lattice,Spruce,Milo,gloss,"[URL=""https://www.youtube.com/watch?v=sGCvfH3n-jE""]YouTube[/URL]"
Lattice,Spruce,Quilted Maple,gloss,"[URL=""https://www.youtube.com/watch?v=ygsknEQj5NI""]YouTube[/URL]"
Lattice,Spruce,Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=hCxYl6e-vdQ""]YouTube[/URL]"
Lattice,Spruce,Waru,gloss,"[URL=""https://www.youtube.com/watch?v=bWtYd3jsuNs""]YouTube[/URL]"
Lattice,Spruce,Waru,satin,"[URL=""https://www.youtube.com/watch?v=Op5hUHmjFWM""]YouTube[/URL]"
Lattice,Tiger Myrtle,Tiger Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=sd3nrJOD-Pk""]YouTube[/URL]"
Lattice,Torrefied spruce,Acacia,gloss,"[URL=""https://www.youtube.com/watch?v=eUGEsySF4Lw""]YouTube[/URL]"
Lattice,Torrefied spruce,Hawaiian (Cuban) Mahogany,gloss,"[URL=""https://www.youtube.com/watch?v=Kt1OVTbG_Kg""]YouTube[/URL]"
Lattice,Torrefied spruce,Macassar Ebony,gloss,"[URL=""https://www.youtube.com/watch?v=03s7LIKWPLA""]YouTube[/URL]"
Lattice,Torrefied spruce,Macassar Ebony,satin,"[URL=""https://www.youtube.com/watch?v=Y-FSuohzFX0""]YouTube[/URL]"
Lattice,Torrefied spruce,Milo,gloss,"[URL=""https://www.youtube.com/watch?v=lUTWoQr7iUg""]YouTube[/URL]"
Lattice,Torrefied spruce,Myrtle,gloss,"[URL=""https://www.youtube.com/watch?v=fVixLG6ObvY""]YouTube[/URL]"
X,Acacia,Acacia,gloss,"[URL=""https://www.youtube.com/watch?v=5IZdzUMe5x4""]YouTube[/URL]"
X,Cedar,Black and White Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=n3hy_VOpQc0""]YouTube[/URL]"
X,Cedar,Kamani,gloss,"[URL=""https://www.youtube.com/watch?v=HPBbAPcfnek""]YouTube[/URL]"
X,Mahogany,Mahogany,satin,"[URL=""https://www.youtube.com/watch?v=ThOI0LKaPbA""]YouTube[/URL]"
X,Mango,Mango,gloss,"[URL=""https://www.youtube.com/watch?v=LfqxLk3KdI0""]YouTube[/URL]"
X,Redwood,Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=ecDhE4DQ0jk""]YouTube[/URL]"
X,Torrefied spruce,Black and White Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=P8VVzPNT978""]YouTube[/URL]"
X,Torrefied spruce,Red Rosewood,gloss,"[URL=""https://www.youtube.com/watch?v=5opERUz7YWM""]YouTube[/URL]"
