id,size,top wood,back wood
2,Baritone,Acacia,Acacia
3,Baritone,Cedar,Acacia
4,Baritone,Cedar,Black and White Rosewood
5,Baritone,Cedar,Macassar Ebony 
6,Baritone,Cedar,Rosewood
7,Baritone,Cedar,Walnut
8,Baritone,Curly Maple,Curly Maple
9,Baritone,Flame Maple,Flame Maple
10,Baritone,Koa,Koa
11,Baritone,Mahogany,Mahogany
12,Baritone,Mango,Mango
13,Baritone,Myrtle,Myrtle
14,Baritone,Port Orford Cedar,Walnut
15,Baritone,Quilted Maple,Quilted Maple
16,Baritone,Redwood,Hawaiian (Cuban) Mahogany
17,Baritone,Redwood,Rosewood
18,Baritone,Redwood,Walnut
19,Baritone,Spalted Mango ,Spalted Mango 
20,Baritone,Spruce,Acacia
21,Baritone,Spruce,Ebony
22,Baritone,Spruce,Flame Maple
23,Baritone,Spruce,Macassar Ebony 
24,Baritone,Spruce,Merbau
25,Baritone,Spruce,Quilted Maple
26,Baritone,Spruce,Rosewood
27,Baritone,Spruce,Weru
28,Baritone,Torrefied spruce,Hawaiian (Cuban) Mahogany
29,Baritone,Torrefied spruce,Myrtle
30,Baritone,Torrefied spruce,Red Rosewood
31,Baritone,Torrefied spruce,Rosewood
32,Concert,Acacia,Acacia
33,Concert,Cedar,Acacia
34,Concert,Cedar,Macassar Ebony 
35,Concert,Cedar,Rosewood
36,Concert,Cedar,Walnut
37,Concert,Cedar,Weru
38,Concert,Koa,Koa
39,Concert,Mahogany,Mahogany
40,Concert,Mango,Mango
41,Concert,Myrtle,Myrtle
42,Concert,Port Orford Cedar,Walnut
43,Concert,Quilted Maple,Quilted Maple
44,Concert,Redwood,Milo
45,Concert,Redwood,Rosewood
46,Concert,Spalted Mango ,Spalted Mango 
47,Concert,Spruce,Birds eye Maple
48,Concert,Spruce,Macassar Ebony 
49,Concert,Spruce,Merbau
50,Concert,Spruce,Rosewood
51,Concert,Spruce,Weru
52,Concert,Torrefied spruce,Myrtle
53,Concert,Torrefied spruce,Rosewood
54,Soprano,Mahogany,Mahogany
55,Tenor,Acacia,Acacia
56,Tenor,Cedar,Acacia
57,Tenor,Cedar,Black and White Rosewood
58,Tenor,Cedar,Macassar Ebony 
59,Tenor,Cedar,Rosewood
60,Tenor,Cedar,Walnut
61,Tenor,Curly Redwood,Milo
62,Tenor,Flame Maple,Flame Maple
63,Tenor,Koa,Ebony
64,Tenor,Koa,Koa
65,Tenor,Mahogany,Mahogany
66,Tenor,Mahogany,Mango
67,Tenor,Mango,Mango
68,Tenor,Myrtle,Myrtle
69,Tenor,Port Orford Cedar,Ebony
70,Tenor,Port Orford Cedar,Milo
71,Tenor,Port Orford Cedar,Myrtle
72,Tenor,Quilted Maple,Quilted Maple
73,Tenor,Redwood,Milo
74,Tenor,Redwood,Rosewood
75,Tenor,Spalted Mango ,Spalted Mango 
76,Tenor,Spruce,Acacia
77,Tenor,Spruce,Ebony
78,Tenor,Spruce,Flame Maple
79,Tenor,Spruce,Macassar Ebony 
80,Tenor,Spruce,Maple
81,Tenor,Spruce,Merbau
82,Tenor,Spruce,Milo
83,Tenor,Spruce,Quilted Maple
84,Tenor,Spruce,Rosewood
85,Tenor,Spruce,Weru
86,Tenor,Torrefied spruce,Black and White Rosewood
87,Tenor,Torrefied spruce,Hawaiian (Cuban) Mahogany
88,Tenor,Torrefied spruce,Milo
89,Tenor,Torrefied spruce,Myrtle
90,Tenor,Torrefied spruce,Rosewood
