position,video_title,published_at,video_id,video_thumbnail,playlist_id,video_provider,published_at_2
1,'Oli L1 MGBG Mango Baritone,2024-01-30T08:53:20Z,uBJy6pgpNIU,https://i.ytimg.com/vi/uBJy6pgpNIU/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-01-30 08:53:20+00:00
2,"O.C. Bear Custom Lahaina Guitar & ‘Oli Cedar Ebony Tenor ""Everything I do I Do It For You""",2024-02-01T06:45:13Z,aFgun3_F1fQ,https://i.ytimg.com/vi/aFgun3_F1fQ/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-02-01 06:45:13+00:00
3,'Oli L2 TCE Cedar Macassar Ebony Tenor,2024-02-01T06:46:51Z,mSw_GV9LxOM,https://i.ytimg.com/vi/mSw_GV9LxOM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-02-01 06:46:51+00:00
4,'Oli Cedar Macassar L2 Baritone,2024-02-28T22:42:13Z,uDCKmlLujrs,https://i.ytimg.com/vi/uDCKmlLujrs/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-02-28 22:42:13+00:00
5,'Oli Spruce Rosewood L2 Baritone,2024-02-28T22:45:18Z,TkO2YRW2vQE,https://i.ytimg.com/vi/TkO2YRW2vQE/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-02-28 22:45:18+00:00
6,'Oli L1 Mango Baritone Satin,2024-02-29T11:36:37Z,khwhxdSi-mY,https://i.ytimg.com/vi/khwhxdSi-mY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-02-29 11:36:37+00:00
7,'Oli L2 Cedar Acacia Satin,2024-03-02T20:26:51Z,u5KrGSLuAXc,https://i.ytimg.com/vi/u5KrGSLuAXc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-03-02 20:26:51+00:00
8,'Oli L2 Cedar Acacia Tenor,2024-03-02T20:27:22Z,WL27LBQ945s,https://i.ytimg.com/vi/WL27LBQ945s/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-03-02 20:27:22+00:00
9,'Oli L1 Acacia Tenor,2024-03-02T20:27:54Z,y_PTYfaS2tM,https://i.ytimg.com/vi/y_PTYfaS2tM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-03-02 20:27:54+00:00
10,'Oli L1 Mango Tenor Satin,2024-03-02T20:28:27Z,Soq6E4n5itM,https://i.ytimg.com/vi/Soq6E4n5itM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube,2024-03-02 20:28:27+00:00
