listing_title,listing_url,model,serial_number,price,date_added,product_id
'Oli Pink Incense Cedar Rosewood Tenor LE (L2-TCIR-P-SB  Plumeria 1572),https://theukulelesite.com/shop-by/brand/oli/oli-pink-incense-cedar-rosewood-tenor-le-l2-tcir-p-plumeria-1572.html,L2-TCIR-P-SB,1572,1795,2025-10-06 20:58:23,14285
'Oli Port Orford Cedar Baritone (L1-BCPMR 1608),https://theukulelesite.com/shop-by/brand/oli/oli-port-orford-cedar-baritone-l1-bcpmr-1608.html,L1-BCPMR,1608,995,2025-10-06 20:58:23,14283
'Oli Mango Baritone (L1-BMG 1790),https://theukulelesite.com/shop-by/brand/oli/oli-mango-baritone-l1-bmg-1790.html,L1-BMG,1790,995,2025-10-06 20:58:23,14259
'Oli Mahogany Tenor Satin (L-TM-S 1777),https://theukulelesite.com/shop-by/brand/oli/oli-mahogany-tenor-satin-l-tm-s-1777.html,L-TM-S,1777,565,2025-10-06 20:58:23,14257
'Oli Myrtle Concert Gloss (L1-CMR 1570),https://theukulelesite.com/shop-by/brand/oli/oli-myrtle-concert-gloss-l1-cmr-1570.html,L1-CMR,1570,795,2025-10-06 20:58:23,14254
'Oli Sinker Cypress Quilted Maple LE Concert (L2-CSCQM-BK 1750),https://theukulelesite.com/shop-by/brand/oli/oli-sinker-cypress-quilted-maple-le-concert-l2-cscqm-bk-1750.html,L2-CSCQM-BK,1750,1395,2025-10-06 20:58:23,14251
'Oli Sinker Cypress Flame Maple Tenor (L2-TSCFM-BK 1675),https://theukulelesite.com/shop-by/brand/oli/oli-sinker-cypress-flame-maple-tenor-l2-tscfm-bk-1675.html,L2-TSCFM-BK,1675,1495,2025-10-06 20:58:23,14250
'Oli Acacia Concert (X1-CA 1843),https://theukulelesite.com/shop-by/brand/oli/oli-acacia-concert-x1-ca-1843.html,X1-CA,1843,895,2025-10-06 20:58:23,14249
'Oli Acacia Baritone (X1-BA 1757),https://theukulelesite.com/shop-by/brand/oli/oli-acacia-baritone-x1-ba-1757.html,X1-BA,1757,1095,2025-10-06 20:58:23,14248
'Oli Mango Concert (X1-CMG 1833),https://theukulelesite.com/shop-by/brand/oli/oli-mango-concert-x1-cmg-1833.html,X1-CMG,1833,895,2025-10-06 20:58:23,14247
'Oli Mango Tenor (L2-TMG-BK 1810),https://theukulelesite.com/shop-by/brand/oli/oli-mango-tenor-l2-tmg-bk-1810.html,L2-TMG-BK,1810,1395,2025-10-06 20:58:23,14231
'Oli Acacia Tenor (X1-TA 1745),https://theukulelesite.com/shop-by/brand/oli/oli-acacia-tenor-x1-ta-1745.html,X1-TA,1745,995,2025-10-06 20:58:23,14230
'Oli Spruce Cocobolo LE Concert (L3-CSCO Anthurium 1670),https://theukulelesite.com/shop-by/brand/oli/oli-spruce-cocobolo-le-concert-l3-csco-anthurium-1670.html,L3-CSCO,1670,1795,2025-10-06 20:58:23,14218
'Oli Sinker Cypress Flame Maple LE Baritone (L2-BSCFM-BK 1699),https://theukulelesite.com/shop-by/brand/oli/oli-sinker-cypress-flame-maple-le-baritone-l2-bscfm-bk-1699.html,L2-BSCFM-BK,1699,1595,2025-10-06 20:58:23,14213
'Oli Mango Baritone (L1SP-BMG-BK 1838),https://theukulelesite.com/shop-by/brand/oli/oli-mango-baritone-l1sp-bmg-bk-1838.html,L1SP-BMG-BK,1838,1195,2025-10-06 20:58:23,14208
