position,video_title,published_at,video_id,video_thumbnail,playlist_id,video_provider
1,'Oli L1 MGBG Mango Baritone,2024-01-30T08:53:06Z,uBJy6pgpNIU,https://i.ytimg.com/vi/uBJy6pgpNIU/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
2,"O.C. Bear Custom Lahaina Guitar & ‘Oli Cedar Ebony Tenor ""Everything I do I Do It For You""",2024-02-01T06:44:56Z,aFgun3_F1fQ,https://i.ytimg.com/vi/aFgun3_F1fQ/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
3,'Oli L2 TCE Cedar Macassar Ebony Tenor,2024-02-01T06:46:48Z,mSw_GV9LxOM,https://i.ytimg.com/vi/mSw_GV9LxOM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
4,'Oli Cedar Macassar L2 Baritone,2024-02-28T22:39:41Z,uDCKmlLujrs,https://i.ytimg.com/vi/uDCKmlLujrs/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
5,'Oli Spruce Rosewood L2 Baritone,2024-02-28T22:44:55Z,TkO2YRW2vQE,https://i.ytimg.com/vi/TkO2YRW2vQE/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
6,'Oli L1 Mango Baritone Satin,2024-02-29T11:36:28Z,khwhxdSi-mY,https://i.ytimg.com/vi/khwhxdSi-mY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
7,'Oli L2 Cedar Acacia Satin,2024-03-02T20:26:47Z,u5KrGSLuAXc,https://i.ytimg.com/vi/u5KrGSLuAXc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
8,'Oli L2 Cedar Acacia Tenor,2024-03-02T20:27:22Z,WL27LBQ945s,https://i.ytimg.com/vi/WL27LBQ945s/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
9,'Oli L1 Acacia Tenor,2024-03-02T20:27:51Z,y_PTYfaS2tM,https://i.ytimg.com/vi/y_PTYfaS2tM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
10,'Oli L1 Mango Tenor Satin,2024-03-02T20:28:25Z,Soq6E4n5itM,https://i.ytimg.com/vi/Soq6E4n5itM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
11,'Oli L1 Mango Tenor,2024-03-02T20:28:53Z,Rs3343kcjXk,https://i.ytimg.com/vi/Rs3343kcjXk/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
12,'Oli L1 Acacia Baritone,2024-03-03T20:08:35Z,Lb8ybMXLMIc,https://i.ytimg.com/vi/Lb8ybMXLMIc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
13,'Oli L1 Acacia Baritone Satin,2024-03-03T20:10:35Z,nIXapx821eY,https://i.ytimg.com/vi/nIXapx821eY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
14,'Oli L1 Mango Tenor,2024-03-04T23:55:55Z,XByuCDF8o0w,https://i.ytimg.com/vi/XByuCDF8o0w/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
15,'Oli L1 Mango Tenor Satin,2024-03-05T01:36:39Z,loV_awbwQUw,https://i.ytimg.com/vi/loV_awbwQUw/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
16,'Oli L2 Mango Baritone,2024-03-06T17:11:01Z,s1FzFA5sE6s,https://i.ytimg.com/vi/s1FzFA5sE6s/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
17,'Oli L2 Mango Tenor,2024-03-06T17:11:37Z,7-ng4od9E60,https://i.ytimg.com/vi/7-ng4od9E60/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
18,"'Oli Koa Tenor ""Loulu"" 0146",2024-03-06T21:45:35Z,mvHvi-3nnu4,https://i.ytimg.com/vi/mvHvi-3nnu4/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
19,"'Oli Koa Tenor ""Uhi"" 0076",2024-03-06T21:48:22Z,tldcsOZN74A,https://i.ytimg.com/vi/tldcsOZN74A/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
20,"'Oli Koa Tenor ""Loulu"" 0117",2024-03-06T22:17:34Z,SGuTHydddz8,https://i.ytimg.com/vi/SGuTHydddz8/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
21,'Oli Koa Tenor Uhi 0147,2024-03-06T22:19:31Z,HVqXU0gfEyY,https://i.ytimg.com/vi/HVqXU0gfEyY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
22,"'Oli Koa Tenor ""Loulu"" 150 w High G",2024-03-06T23:58:51Z,90WJ5B2io90,https://i.ytimg.com/vi/90WJ5B2io90/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
23,Layla on 'Oli Spruce Ebony Baritone & Tenor,2024-03-07T03:56:38Z,WQv9c-SODW4,https://i.ytimg.com/vi/WQv9c-SODW4/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
24,'Oli L2 Spruce Ebony Baritone,2024-03-07T04:08:45Z,R5cMlwokGlg,https://i.ytimg.com/vi/R5cMlwokGlg/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
25,'Oli L2 Spruce Top Ebony Tenor,2024-03-07T04:21:42Z,VrNGaAiNwE4,https://i.ytimg.com/vi/VrNGaAiNwE4/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
26,'Oli Spruce Maple Tenor,2024-03-07T18:10:20Z,xEF2M4HKBRc,https://i.ytimg.com/vi/xEF2M4HKBRc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
27,'Oli Spruce Quilted Maple Sunburst Tenor,2024-03-07T18:10:48Z,ygsknEQj5NI,https://i.ytimg.com/vi/ygsknEQj5NI/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
28,'Oli L1 Concert Mango,2024-03-08T19:43:59Z,SITcQvzucKo,https://i.ytimg.com/vi/SITcQvzucKo/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
29,'Oli L1 Acacia Concert,2024-03-08T19:44:24Z,ZrJQeXvp4HE,https://i.ytimg.com/vi/ZrJQeXvp4HE/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
30,'Oli Quilted Maple Sunburst Tenor,2024-03-08T20:24:49Z,HNenXmQh9Wg,https://i.ytimg.com/vi/HNenXmQh9Wg/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
31,'Oli L2 Cedar Ebony Tenor,2024-03-09T23:54:05Z,ht5mFeLnanM,https://i.ytimg.com/vi/ht5mFeLnanM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
32,'Oli L2 Cedar Rosewood Baritone,2024-03-11T04:30:27Z,qgPeQYPmIdY,https://i.ytimg.com/vi/qgPeQYPmIdY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
33,'Oli L2 Cedar Rosewood Tenor,2024-03-11T19:09:02Z,bAUpLxDCNV8,https://i.ytimg.com/vi/bAUpLxDCNV8/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
34,'Oli L2 Flame Maple Tenor,2024-03-11T19:19:07Z,wdNBvGFFY9w,https://i.ytimg.com/vi/wdNBvGFFY9w/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
35,'Oli Spruce Rosewood Tenor,2024-03-12T02:31:08Z,F0hxa4dcVm4,https://i.ytimg.com/vi/F0hxa4dcVm4/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
36,"'Oli Koa Baritone ""Uhi""",2024-03-14T03:29:36Z,hX22sy42QD8,https://i.ytimg.com/vi/hX22sy42QD8/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
37,'Oli L2 TSE Spruce Ebony Tenor,2024-03-25T02:57:53Z,4kGV1Ba9NGc,https://i.ytimg.com/vi/4kGV1Ba9NGc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
38,'Oli Cedar Rosewood Tenor L2 TCR,2024-03-25T03:01:26Z,A6ZZwmIQRTw,https://i.ytimg.com/vi/A6ZZwmIQRTw/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
39,'Oli L2 BCE Cedar Ebony Baritone,2024-03-25T03:05:08Z,K30riOSznUE,https://i.ytimg.com/vi/K30riOSznUE/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
40,"'Oli Acacia Satin tenor & concert ""Moloka'i Sweet Home""",2024-03-31T19:56:30Z,2ZfBl7Z5_HY,https://i.ytimg.com/vi/2ZfBl7Z5_HY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
41,'Oli L1 CAS Satin Acacia Tenor,2024-03-31T19:57:22Z,PCZN5j1CQoM,https://i.ytimg.com/vi/PCZN5j1CQoM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
42,'Oli L1 TAS  Satin Acacia Tenor,2024-03-31T20:13:37Z,508tEJP_J0w,https://i.ytimg.com/vi/508tEJP_J0w/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
43,'Oli L1 CMGS Satin Mango Concert,2024-03-31T20:27:20Z,GFjqsXCJmkE,https://i.ytimg.com/vi/GFjqsXCJmkE/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
44,'Oli Mastergrade Koa Tenor 157,2024-04-04T20:50:55Z,AMrBm7gwL9A,https://i.ytimg.com/vi/AMrBm7gwL9A/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
45,'Oli Mastergrade Koa Tenor 115,2024-04-04T20:52:27Z,oBssHayGSkY,https://i.ytimg.com/vi/oBssHayGSkY/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
46,Bossa Europa on 'Oli Spruce Rosewood Low G Tenor & Cedar Rosewood High G Tenor,2024-04-08T09:33:53Z,9EBFozk01Vc,https://i.ytimg.com/vi/9EBFozk01Vc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
47,'Oli Spruce Rosewood Tenor L2-TSR,2024-04-08T17:58:59Z,B4LUZiLLEfc,https://i.ytimg.com/vi/B4LUZiLLEfc/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
48,'Oli Cedar Rosewood Tenor w High G,2024-04-10T23:25:04Z,kIgjZQwzU_Q,https://i.ytimg.com/vi/kIgjZQwzU_Q/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
49,'Oli Cedar Rosewood Concert,2024-05-05T09:41:12Z,9ie6JcRcsEM,https://i.ytimg.com/vi/9ie6JcRcsEM/default.jpg,PLEQbDXy0ShuWQ4iKD4YVC1iOj3uKY1R-2,youtube
